Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Pelle Larsson,MIA,55,24,31,14.2,6098.7,1.16,0.6,0.55,4.53,4.86,4.22,1.87,0.97,0.89,7.29,7.82,6.79,24,108.7,1.2,8.1,11.9,0.6,23.2,0.1,12.7,4.7,3.6,4.2,14.4,0.059,1.4,0.6,0.8,4.74,2.46,2.26
Landry Shamet,NYK,50,30,20,15.2,6430.8,1.22,0.67,0.55,4.53,4.88,4.16,1.96,1.08,0.89,7.29,7.85,6.69,28,106.5,1.0,6.4,10.2,0.5,18.1,0.0,3.1,4.9,4.1,3.3,16.7,0.072,1.0,0.5,0.5,4.64,2.56,2.11
Dalen Terry,CHI,73,33,40,13.5,6055.9,1.15,0.6,0.54,4.74,5.21,4.32,1.85,0.97,0.87,7.63,8.38,6.95,22,111.6,1.2,8.0,12.0,0.6,26.7,0.2,12.9,5.7,3.8,4.2,14.9,0.044,1.1,0.2,0.8,4.93,2.59,2.32
Antonio Reeves,NOP,44,6,38,15.0,6189.9,1.17,0.63,0.54,4.37,4.64,4.09,1.88,1.01,0.87,7.03,7.47,6.58,22,117.5,1.0,7.0,10.7,0.5,17.9,0.1,6.5,6.5,4.3,5.7,15.8,0.023,0.4,0.4,0.0,4.51,2.42,2.09
Cam Whitmore,HOU,51,30,21,16.2,6170.4,1.17,0.63,0.54,4.02,4.24,3.79,1.88,1.01,0.87,6.47,6.82,6.1,20,112.3,2.3,13.9,21.3,0.6,19.7,0.3,16.9,5.9,5.0,5.0,18.2,0.05,1.8,0.6,1.2,4.18,2.24,1.93
Kevon Looney,GSW,76,45,31,15.0,5932.6,1.12,0.59,0.54,4.19,4.33,4.04,1.8,0.95,0.87,6.74,6.97,6.5,29,106.9,3.6,22.7,33.8,0.6,22.3,0.5,36.3,5.1,4.0,4.4,14.4,0.069,4.3,2.2,2.1,4.32,2.28,2.09
Jaylin Williams,OKC,47,40,7,16.7,6121.9,1.16,0.62,0.54,3.9,4.15,3.65,1.87,1.0,0.87,6.28,6.68,5.87,23,103.0,4.6,25.1,36.4,0.5,14.4,0.6,39.2,5.2,4.8,3.8,13.8,0.096,3.3,1.5,1.7,4.03,2.16,1.88
Zach Collins,CHI,64,34,30,15.3,6076.5,1.15,0.61,0.54,4.24,4.57,3.92,1.85,0.98,0.87,6.82,7.35,6.31,27,109.9,2.9,17.7,26.6,0.5,16.9,0.5,33.3,5.4,4.2,4.1,14.9,0.056,2.7,1.7,1.0,4.35,2.31,2.05
Seth Curry,CHA,68,17,51,15.6,6170.4,1.17,0.64,0.53,4.2,4.38,3.99,1.88,1.03,0.85,6.76,7.05,6.42,34,114.1,1.3,8.1,12.1,0.4,18.6,0.1,7.0,6.5,4.6,5.9,15.4,0.039,1.8,1.3,0.5,4.34,2.38,1.96
Gui Santos,GSW,56,36,20,13.6,5953.3,1.13,0.61,0.52,4.63,4.93,4.34,1.82,0.98,0.84,7.45,7.93,6.98,23,107.3,1.8,12.7,19.1,0.4,16.9,0.2,16.1,4.4,3.9,3.2,12.1,0.061,1.7,0.8,0.9,4.82,2.59,2.22
